Symbol,ISIN,Trade Date,Exchange,Segment,Series,Trade Type,Auction,Quantity,Price,Trade ID,Order ID,Order Execution Time
N100-E,INF247L01031,2021-01-18,BSE,EQ,E,buy,False,5,922.73,47700,1610941500022002046,2021-01-18T10:19:59
AMBUJACEM,INE079A01024,2021-02-02,NSE,EQ,EQ,buy,False,15,270.5,1612116,1000000007042480,2021-02-02T10:11:21
INDIACEM,INE383A01012,2021-02-02,NSE,EQ,EQ,buy,False,5,164.6,26964794,1100000006904134,2021-02-02T10:11:39
INDIGO,INE646L01027,2021-02-05,NSE,EQ,EQ,buy,False,3,1693.0,28664632,1100000014276069,2021-02-05T12:24:03
TATAPOWER,INE245A01021,2021-02-05,NSE,EQ,EQ,buy,False,4,89.4,79391324,1300000014765284,2021-02-05T12:27:30
BURGERKING,INE07T201019,2021-06-07,NSE,EQ,EQ,buy,False,42,163.5,4470436,1000000013751185,2021-06-07T13:01:15
PFC,INE134E01011,2021-06-24,NSE,EQ,EQ,buy,False,50,122.6,52983532,1200000005226725,2021-06-24T13:54:17
PFC,INE134E01011,2021-06-24,NSE,EQ,EQ,buy,False,20,122.6,53036745,1200000005226725,2021-06-24T14:01:40
NTPC,INE733E01010,2021-07-07,NSE,EQ,EQ,buy,False,55,117.65,53118274,1200000007806491,2021-07-07T13:29:41
POWERGRID,INE752E01010,2021-07-07,NSE,EQ,EQ,buy,False,19,229.5,53119960,1200000007771255,2021-07-07T13:29:56
POWERGRID,INE752E01010,2021-07-07,NSE,EQ,EQ,buy,False,1,229.5,53119961,1200000007771255,2021-07-07T13:29:56
ASHOKLEY,INE208A01029,2021-07-07,NSE,EQ,EQ,buy,False,15,123.2,2941859,1000000011725160,2021-07-07T14:01:38
LT,INE018A01030,2021-07-30,NSE,EQ,EQ,buy,False,2,1592.8,52701141,1200000009952515,2021-07-30T11:50:03
RELIANCE,INE002A01018,2020-02-14,NSE,EQ,EQ,buy,False,2,1486.55,77683210,1300000008764305,2020-02-14T14:46:13
YESBANK,INE528G01027,2020-02-14,NSE,EQ,EQ,buy,False,50,38.9,77852170,1300000009246556,2020-02-14T15:04:38
YESBANK,INE528G01027,2020-02-18,NSE,EQ,EQ,sell,False,50,34.8,75848625,1300000002818332,2020-02-18T10:30:41
IRCTC,INE335Y01012,2020-02-19,NSE,EQ,EQ,buy,False,1,1677.6,25057308,1100000000260790,2020-02-19T09:16:17
IRCTC,INE335Y01012,2020-02-19,NSE,EQ,EQ,buy,False,1,1723.7,25697819,1100000002096992,2020-02-19T09:59:30
FOODSIN-X,INE976E01023,2020-02-20,BSE,EQ,X,buy,False,15,56.0,825900,1582169400002684295,2020-02-20T09:46:32
IDEA,INE669E01016,2020-02-20,BSE,EQ,A,buy,False,100,4.78,7046000,1582169400001178374,2020-02-20T10:16:18
IDEA,INE669E01016,2020-02-20,BSE,EQ,A,sell,False,100,4.71,9817600,1582169400001215246,2020-02-20T10:47:36
IDEA,INE669E01016,2020-02-20,BSE,EQ,A,buy,False,200,4.68,10647100,1582169400001252244,2020-02-20T11:00:55
IDEA,INE669E01016,2020-02-20,BSE,EQ,A,sell,False,200,4.63,11646800,1582169400001256159,2020-02-20T11:22:33
IRCTC,INE335Y01012,2020-02-24,NSE,EQ,EQ,sell,False,2,1846.0,25342625,1100000000922662,2020-02-24T09:25:06
IRCTC,INE335Y01012,2020-02-24,NSE,EQ,EQ,buy,False,2,1872.0,25557068,1100000001460481,2020-02-24T09:36:18
TATAPOWER,INE245A01021,2020-02-24,NSE,EQ,EQ,buy,False,10,52.1,76928302,1300000005174103,2020-08-11T13:44:08
FOODSIN-X,INE976E01023,2020-02-25,BSE,EQ,X,sell,False,15,57.0,2869700,1582601400002762840,2020-08-11T13:44:09
IRCTC,INE335Y01012,2020-03-02,NSE,EQ,EQ,sell,False,2,1724.95,29329788,1100000009788524,2020-08-11T13:44:10
IRCTC,INE335Y01012,2020-03-11,NSE,EQ,EQ,buy,False,2,1283.75,25112734,1100000000318173,2020-08-11T13:44:11
TATAPOWER,INE245A01021,2020-03-11,NSE,EQ,EQ,buy,False,2,39.6,75412990,1300000000946832,2020-08-11T13:44:12
POLYCAB,INE455K01017,2020-03-11,NSE,EQ,EQ,buy,False,1,1017.0,50382248,1200000000911357,2020-08-11T13:44:13
IRCTC,INE335Y01012,2020-03-11,NSE,EQ,EQ,sell,False,1,1297.0,25896151,1100000002421494,2020-08-11T13:44:14
IRCTC,INE335Y01012,2020-03-11,NSE,EQ,EQ,sell,False,1,1296.95,25896195,1100000002421494,2020-08-11T13:44:15
POLYCAB,INE455K01017,2020-03-13,NSE,EQ,EQ,sell,False,1,850.0,50618057,1200000001182394,2020-08-11T13:44:16
